deg,deg_avg,num
0,5.42482609092,335
1,5.42723160218,333
2,5.4345826345,313
3,5.4343611903,320
4,5.43847003555,310
5,5.4394329537,326
6,5.44434054529,338
7,5.46083959446,320
8,5.45867214095,351
9,5.45418667735,317
10,5.44234920636,318
11,5.43777816678,317
12,5.44193333142,253
13,5.44745077336,216
14,5.44547511493,189
15,5.44799160047,243
16,5.43854413705,244
17,5.43069579914,262
18,5.4286324256,302
19,5.43077578544,343
20,5.4342963274,332
21,5.44232233884,306
22,5.44786524418,370
23,5.45320408944,373
24,5.46024711431,352
25,5.46002605822,360
26,5.45780386275,261
27,5.44200527607,274
28,5.43756544916,278
29,5.4336278196,436
30,5.43354475758,414
31,5.42995610994,443
32,5.43101656777,455
33,5.4323441066,548
34,5.43118404315,484
35,5.432619807,487
36,5.43004697277,530
37,5.42918171323,435
38,5.42849811625,479
39,5.42834520057,552
40,5.42608198198,746
41,5.42836040863,685
42,5.43256533759,738
43,5.43591676644,717
44,5.44289198346,626
45,5.44073338227,832
46,5.44373831295,904
47,5.44176196457,1137
48,5.44062323952,981
49,5.43505649813,1053
50,5.43107426561,1210
51,5.43329893,1179
52,5.44123730556,1059
53,5.4484155564,1000
54,5.44360363902,894
55,5.44202203516,690
56,5.4432537029,660
57,5.44318533767,720
58,5.44144734111,706
59,5.43929860424,542
60,5.44130465724,466
61,5.43858657866,514
62,5.43798778958,656
63,5.43526878416,701
64,5.43335790373,696
65,5.43210543356,584
66,5.43384910485,542
67,5.43532215287,508
68,5.43577853847,495
69,5.43286769622,483
70,5.43479673487,341
71,5.44859158293,378
72,5.45158730851,393
73,5.44760212958,345
74,5.44794704464,330
75,5.4513198779,147
76,5.44905825065,202
77,5.44448687629,257
78,5.43994393908,217
79,5.43717096195,207
80,5.4299097206,175
81,5.43503152459,146
82,5.43449252673,247
83,5.43531214956,295
84,5.43084346591,408
85,5.42829946841,343
86,5.42781560982,361
87,5.42787418665,268
88,5.43016535305,195
89,5.43151834419,195
90,5.42844738806,221
91,5.43122731077,295
92,5.42741483885,311
93,5.42574880795,328
94,5.42454984386,298
95,5.42541738384,310
96,5.42446379932,317
97,5.42643545709,315
98,5.42306641665,314
99,5.41682336519,298
100,5.41379874853,290
101,5.41238779049,242
102,5.40969305585,218
103,5.41729875543,259
104,5.40765457563,242
105,5.40277823915,230
106,5.41313797304,209
107,5.42238337494,243
108,5.42492931867,253
109,5.43135043775,319
110,5.42141155726,375
111,5.42174537986,282
112,5.41483629355,301
113,5.43064020848,296
114,5.42706156633,303
115,5.42751959623,307
116,5.42183353125,292
117,5.41189322449,313
118,5.41131950716,299
119,5.40748009599,284
120,5.41499387358,318
121,5.43547421699,340
122,5.44100720575,337
123,5.4366745075,318
124,5.44065052674,324
125,5.43564383307,308
126,5.44398071138,302
127,5.44356590106,299
128,5.4336256464,279
129,5.42759948988,269
130,5.43016380732,288
131,5.43060762592,305
132,5.42836873248,321
133,5.42718538542,306
134,5.41364623635,301
135,5.41752363893,323
136,5.41683674336,312
137,5.41089983313,341
138,5.41458257454,333
139,5.42007028221,309
140,5.41612600813,328
141,5.41991407553,357
142,5.43127481365,349
143,5.44303470949,341
144,5.45127935373,309
145,5.45385950884,296
146,5.45443622063,271
147,5.44637073125,250
148,5.44533158829,208
149,5.4480184339,56
150,5.4387624262,58
151,5.43086939377,63
152,5.43129658109,25
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,5.46308055608,28
162,5.4594067956,51
163,5.46279656083,49
164,5.46323974386,146
165,5.46118872671,312
166,5.46293877246,326
167,5.46627714286,335
168,5.47295806441,325
169,5.47515224199,244
170,5.47761145951,271
171,5.48434571059,300
172,5.48667225769,292
173,5.48153948497,283
174,5.48138124101,241
175,5.47446089142,333
176,5.46619387831,310
177,5.44761659654,273
178,5.44734687125,354
179,5.44229526751,307
180,5.43958655077,346
181,5.43934961053,232
182,5.4364981004,258
183,5.43794663532,324
184,5.43526832384,383
185,5.43358466895,376
186,5.4380689626,385
187,5.44315237092,384
188,5.44674551141,367
189,5.44920087539,357
190,5.45034883379,359
191,5.45906094187,350
192,5.4688838891,361
193,5.47095030776,370
194,5.47094757704,369
195,5.47306168249,367
196,5.47024935531,349
197,5.46191415316,328
198,5.45575594184,335
199,5.45978625069,343
200,5.46248827929,324
201,5.46788109546,321
202,5.47949432784,305
203,5.48863433419,322
204,5.49434644722,326
205,5.49852045066,306
206,5.50200521773,294
207,5.50462187876,292
208,5.49429745583,312
209,5.48308239328,336
210,5.47675770911,325
211,5.4720857479,325
212,5.46637492575,339
213,5.46674416092,322
214,5.47280617091,316
215,5.47962950648,330
216,5.48091654366,323
217,5.47476768934,302
218,5.46960298538,297
219,5.46403887705,274
220,5.46267548436,285
221,5.45984049504,308
222,5.45494764071,316
223,5.45321666707,252
224,5.45172308572,299
225,5.446496869,289
226,5.44318716302,309
227,5.43688653151,305
228,5.43862689097,291
229,5.44039218891,299
230,5.43619958784,258
231,5.43496149261,288
232,5.43228699884,157
233,5.43341367714,237
234,5.43476648897,242
235,5.43501642511,256
236,5.43620408166,254
237,5.43675066611,250
238,5.43767479871,239
239,5.43375181554,241
240,5.43039646503,237
241,5.42844004628,248
242,5.42559482069,231
243,5.42924090348,246
244,5.43390592314,233
245,5.43715783347,233
246,5.44323025489,265
247,5.44624270436,242
248,5.447423673,230
249,5.44851331197,234
250,5.45110503583,243
251,5.45688506911,245
252,5.46484879503,233
253,5.46183079817,249
254,5.4618656648,253
255,5.4513803864,245
256,5.44060619662,243
257,5.43683720794,246
258,5.43396413942,260
259,5.43088163708,270
260,5.4324398481,241
261,5.42748798593,251
262,5.42853825934,245
263,5.42347095005,240
264,5.42673408219,285
265,5.42846446203,270
266,5.42408924957,239
267,5.41658829543,287
268,5.41489256323,325
269,5.42626188369,278
270,5.42181369938,273
271,5.4263112926,336
272,5.43505903206,356
273,5.44472152308,408
274,5.4587020233,448
275,5.46861200858,415
276,5.47158147751,341
277,5.46517245974,297
278,5.45921546942,322
279,5.45077814022,147
280,5.4341339601,287
281,5.43219573702,376
282,5.42835551151,455
283,5.426505679,464
284,5.42352778491,466
285,5.42698754616,467
286,5.42635629668,459
287,5.41829781244,460
288,5.40906521812,416
289,5.4113451478,511
290,5.41662258237,575
291,5.42507289334,530
292,5.42999992949,441
293,5.43471015751,462
294,5.44381486675,548
295,5.45256436159,408
296,5.45994479504,208
297,5.4722614822,539
298,5.48339144536,619
299,5.49033541698,751
300,5.49495791865,436
301,5.49984781303,481
302,5.50686870919,579
303,5.51196383618,618
304,5.51256286809,753
305,5.50341114439,1026
306,5.50473276729,1279
307,5.50173208399,1122
308,5.49059695766,789
309,5.47279820364,803
310,5.47777396672,799
311,5.4884500979,638
312,5.49526233597,517
313,5.49906989089,1075
314,5.4950711784,1011
315,5.48880612185,901
316,5.48693470015,747
317,5.492839567,730
318,5.49347055875,579
319,5.49437156319,632
320,5.47946502713,489
321,5.47488475815,470
322,5.4757433963,437
323,5.48711307046,422
324,5.48955352927,414
325,5.48531148843,530
326,5.48425930532,475
327,5.48403333557,357
328,5.48103960813,214
329,5.47816869024,485
330,5.4753650354,362
331,5.4629206225,345
332,5.45463664912,309
333,5.44879869175,350
334,5.44556927754,273
335,5.44558301351,238
336,5.45085585255,261
337,5.44753696605,313
338,5.43831200251,293
339,5.4248786303,298
340,5.41752881208,271
341,5.42714481141,260
342,5.43977064639,324
343,5.44964536279,290
344,5.45428960128,233
345,5.45722643291,314
346,5.45605433143,321
347,5.44960849395,331
348,5.44808385518,338
349,5.4473942901,342
350,5.45054625472,358
351,5.45033409269,364
352,5.44612931805,324
353,5.44130875769,336
354,5.43466436701,327
355,5.42827938076,337
356,5.43024080134,324
357,5.42917353397,330
358,5.42602467791,331
359,5.42394318149,321
