deg,deg_meanR,num
317,5.47867836935678,735
318,5.479323593194713,567
319,5.482098356847892,630
320,5.4674350317879625,526
321,5.461782727818349,455
322,5.462492012735222,456
323,5.4734937940007224,388
324,5.476683381376026,408
325,5.474346552458827,537
326,5.47228348345975,492
327,5.472159189376166,368
328,5.469298328683411,211
329,5.466863384570287,460
330,5.465241386931056,397
331,5.453752982007344,338
332,5.444648991184727,309
333,5.438952271432639,349
334,5.435928876708766,267
335,5.436032600254795,250
336,5.439113638083954,248
337,5.440092977307535,308
338,5.430643967479106,293
339,5.418223407033122,304
340,5.408961015304627,281
341,5.4169096855467584,250
342,5.4288624272980055,315
343,5.440913889014655,305
344,5.446325286460086,229
345,5.449054791069264,299
346,5.4496760503276995,334
347,5.443655480919554,336
348,5.441897208095991,329
349,5.440374625986269,343
350,5.444750589531279,351
351,5.444795367671631,367
352,5.441304896018733,339
353,5.437419994509463,317
354,5.432155003111028,331
355,5.424000153372532,324
356,5.424977547103687,336
357,5.425283288019819,334
358,5.423325427326653,329
359,5.421014714865314,318
